編號,地震日期,地震時間,經度(?E),緯度(?N),芮氏規模,深度(km),位置
小區域有感地震,2023年1月29日,23:15,120.798,23.2082,3.2,4.7,高雄市政府東北方  81.9  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2023年1月27日,06:40,121.238,23.2665,3.5,16.8,花蓮縣政府南南西方  89.2  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023年1月24日,22:37,121.276,23.0717,3.7,7.7,臺東縣政府北北東方  37.3  公里 (位於臺東縣東河鄉)(臺東縣東河鄉)
小區域有感地震,2023年1月24日,12:17,121.291,23.4362,3.8,11.4,花蓮縣政府南南西方  70.0  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023年1月22日,06:13,121.913,24.4312,3.6,13.4,宜蘭縣政府南南東方  36.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023年1月21日,14:05,120.856,24.3787,3.6,5.4,苗栗縣政府南方  20.9  公里 (位於苗栗縣大湖鄉)(苗栗縣大湖鄉)
小區域有感地震,2023年1月21日,14:04,121.241,23.2627,3.6,16.8,花蓮縣政府南南西方  89.5  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023年1月21日,08:05,121.767,23.7825,4.1,15.9,花蓮縣政府東南方  27.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023年1月20日,17:24,120.27,23.2468,3.1,14.6,臺南市政府北北東方  29.5  公里 (位於臺南市下營區)(臺南市下營區)
第005號,2023年1月20日,10:56,121.516,24.0478,4.4,19.7,花蓮縣政府西北西方  12.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023年1月20日,02:43,121.777,24.0725,4.1,32.5,花蓮縣政府東北東方  18.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023年1月19日,10:09,121.163,23.0958,3.7,13.8,臺東縣政府北方  37.8  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2023年1月16日,22:03,122.326,24.0063,4.7,23.4,花蓮縣政府東方  71.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023年1月15日,15:48,121.163,24.9075,3.1,4.2,桃園市政府西南西方  16.9  公里 (位於桃園市楊梅區)(桃園市楊梅區)
小區域有感地震,2023年1月15日,03:40,122.583,25.1852,5.3,171.1,基隆市政府東方  84.7  公里 (位於臺灣東北部海域)(臺灣東北部海域)
小區域有感地震,2023年1月14日,14:02,121.691,23.8367,3.9,21.7,花蓮縣政府南南東方  18.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023年1月14日,00:41,121.702,24.3215,3.2,8,花蓮縣政府北北東方  37.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023年1月13日,23:02,122.336,24.0407,5,24.2,花蓮縣政府東方  73.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023年1月13日,06:59,121.858,24.3962,3.6,8.7,宜蘭縣政府南南東方  38.3  公里 (位於宜蘭縣近海)(宜蘭縣近海)
第004號,2023年1月12日,13:15,120.66,22.8345,4.4,19.6,屏東縣政府東北方  24.4  公里 (位於屏東縣三地門鄉)(屏東縣三地門鄉)
小區域有感地震,2023年1月12日,13:15,121.042,22.066,4.1,25.2,臺東縣政府南方  77.1  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2023年1月11日,22:50,120.705,23.1547,3.6,8,高雄市政府東北方  71.6  公里 (位於高雄市桃源區)(高雄市桃源區)
第003號,2023年1月11日,12:42,121.465,23.2245,4.8,29.2,臺東縣政府東北方  61.2  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2023年1月11日,03:22,121.308,23.1485,4,33.9,花蓮縣政府南南西方  98.6  公里 (位於花蓮縣富里鄉)(花蓮縣富里鄉)
小區域有感地震,2023年1月10日,22:53,121.735,24.2123,3.3,13.5,花蓮縣政府北北東方  27.2  公里 (位於花蓮縣近海)(花蓮縣近海)
第002號,2023年1月9日,19:31,121.265,23.3835,4.7,11.5,花蓮縣政府南南西方  76.4  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023年1月9日,01:13,120.546,23.0953,4,12,臺南市政府東北東方  38.7  公里 (位於臺南市南化區)(臺南市南化區)
小區域有感地震,2023年1月8日,22:34,121.742,24.1993,3.2,14.4,花蓮縣政府北北東方  26.2  公里 (位於花蓮縣近海)(花蓮縣近海)
第001號,2023年1月7日,19:21,121.326,23.5553,4.7,15.2,花蓮縣政府西南方  56.8  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2023年1月6日,02:02,122.04,24.8863,4.2,13.5,宜蘭縣政府東北東方  32.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023年1月6日,01:11,122.038,24.8852,4.4,11,宜蘭縣政府東北東方  32.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023年1月5日,12:59,121.587,23.2297,4.5,39.7,臺東縣政府東北方  69.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023年1月5日,08:15,121.161,24.9123,3.4,5.1,桃園市政府西南西方  16.8  公里 (位於桃園市楊梅區)(桃園市楊梅區)
小區域有感地震,2023年1月3日,14:05,121.572,25.1507,2.9,5.6,臺北市政府北方  12.5  公里 (位於臺北市士林區)(臺北市士林區)
小區域有感地震,2023年1月3日,05:46,120.341,23.1012,3.7,17.3,臺南市政府東北方  20.0  公里 (位於臺南市山上區)(臺南市山上區)
小區域有感地震,2023年1月3日,05:46,120.333,23.0953,3.5,16.9,臺南市政府東北方  19.0  公里 (位於臺南市山上區)(臺南市山上區)
小區域有感地震,2023年1月3日,05:19,121.544,23.7838,4.3,17.5,花蓮縣政府南南西方  24.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2023年1月3日,05:06,121.552,23.7808,3.9,17.8,花蓮縣政府南南西方  24.3  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2023年1月2日,14:29,121.663,24.0635,4.2,29.9,花蓮縣政府北北東方  9.2  公里 (位於花蓮縣近海)(花蓮縣近海)
