,案例,風格與坪數,位置
0,室內設計 | 桃園張公館,北歐風∕20~40坪,∕桃園長庚店
1,室內設計 | 桃園牛公館,現代風∕20~40坪,∕新竹竹北旗艦店(新開幕)
2,室內設計 | 新北李公館,北歐風∕舊屋翻新 20~40坪,∕新北板橋店
3,室內設計 | 新北酈公館,北歐風∕20~40坪,∕台北承德店
4,室內設計 | 台中吳公館,新美式風∕舊屋翻新20~40坪,∕台中國光店
5,室內設計 | 新竹陳公館,北歐風∕20~40坪,∕新竹竹北店
6,室內設計 | 新北莊公館,北歐風∕閣樓、小宅,∕新北新莊頭前店
7,室內設計 | 新北許公館,現代風∕20~40坪,∕台北中山店
8,室內設計 | 台中陳公館,北歐風∕舊屋翻新 20~40坪,∕新竹竹北店
9,室內設計 | 桃園魏公館,現代風∕舊屋翻新 20~40坪,∕台北南京店
10,室內設計 | 台中邱公館,現代風∕舊屋翻新 20~40坪,∕台中南屯店
11,室內設計 | 台北方公館,現代風∕舊屋翻新 20~40坪,∕台北重慶店
12,室內設計 | 新竹洪公館,混搭風∕20~40坪,∕新竹店
13,室內設計 | 新北黃公館,現代風∕40坪以上,∕新北土城店
14,室內設計 | 新竹林公館,混搭風∕舊屋翻新 20~40坪,∕台北天母店
15,室內設計 | 台中陳公館,飯店風∕20-40坪,∕新竹竹北店
16,室內設計 | 新北牟公館,飯店風∕20-40坪,∕新北土城店
17,室內設計 | 高雄劉公館,現代風∕舊屋翻新 40坪以上,∕高雄鳳山青年店
18,室內設計 | 新竹廖公館,現代風∕舊屋翻新 20坪以下,∕新竹自強店
19,室內設計 | 台中蔡公館,混搭風∕40坪以上,∕台中南屯店
20,室內設計 | 新竹黃公館,現代風∕舊屋翻新 20坪以下,∕新竹竹北店
21,室內設計 | 淡水林公館,北歐風∕20~40坪,∕新北板橋店
22,室內設計 | 新北朱公館,混搭風∕20~40坪,∕台北南京店
23,室內設計 | 高雄黃公館,現代風∕20~40坪,∕高雄高美店
24,室內設計 | 台中王公館,現代風∕40坪以上,∕台中南屯店
25,室內設計 | 新竹郭公館,古典風∕舊屋翻新 40坪以上,∕新竹竹北店
26,室內設計 | 台南賴公館,混搭風∕40坪以上,∕台南店
27,室內設計 | 台北陳公館,現代風∕舊屋翻新 20~40坪,∕台北承德店
28,室內設計 | 新竹李公館,新美式風∕20~40坪,∕新竹店
29,室內設計 | 台北江公館,混搭風∕40坪以上,∕台北土城店
