行星,seg
作詞：邱建豪作曲：邱建豪、郭哲成編曲：理想混蛋主唱：邱建豪沒有行李 沒有目的一個人旅行在無邊黑暗裡 直到耗盡勇氣卻無人回應忘記了呼吸直到誰的溫熱把我喚醒指引卻無法觸及那絕對的距離投射光芒的你我獨自盤旋在看得見你的軌道仰望著你一圈再一圈的圍繞我不能靠近 卻也不願遠離習慣在你影子裡遊戲我的孤寂你成為了定律我放棄了時間轉過了一天過了一季過一年你一如往常發著光 而我就這樣安靜地被遺忘更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我獨自盤旋在看得見你的軌道仰望著你一圈再一圈的圍繞我不能靠近 卻也不願遠離習慣在你影子裡遊戲我的孤寂你成為了定律我放棄了時間轉過了一天過了一季過一年你一如往常發著光 而我就這樣安靜地被遺忘我沉睡時幻想 你就在我身旁清醒卻發現 你仍然遠方你聽見了嗎 我在這裡歌唱一個人一個星球等待你一個回答也許有天時間把願望都埋葬只留下我為你踱步的殘響你一如往常發著光 而我就這樣安靜地被遺忘滿足地被遺忘幸福的被遺忘[00:00.00]理想混蛋Bestards - 行星[00:15.00][00:20.66][00:40.80][01:00.48][01:19.29][02:23.34][02:31.32][02:47.71][03:07.89][04:00.00][00:27.90]沒有行李 沒有目的[00:37.40]一個人旅行[00:47.21]在無邊黑暗裡 直到耗盡勇氣[00:56.02]卻無人回應[01:05.40]忘記了呼吸[01:10.20]直到誰的溫熱 把我喚醒[01:25.00]指引卻無法觸及[01:30.42]那絕對的距離[01:35.19]投射光芒的你[01:42.19][03:19.00]我獨自盤旋在看得見你的軌道[01:46.90][03:23.90]仰望著你一圈再一圈的圍繞[01:51.73][03:29.14]我不能靠近 卻也不願遠離[01:56.69][03:33.86]習慣在你影子裡遊戲我的孤寂[02:01.10][03:38.77]你成為了定律我放棄了時間[02:06.20][03:43.76]轉過了一天過了一季過一年[02:11.10][03:48.64]你一如往常發著光而我就這樣[02:18.32][03:55.81]安靜地被遺忘[04:08.14]我沉睡時幻想 你就在我身旁[04:12.48]清醒卻發現 你仍然遠方[04:17.90]你聽見了嗎 我在這裡歌唱[04:22.35]一個人一個星球等待你一個回答[04:27.70]也許有天時間把願望都埋葬[04:32.45]只留下我為你踱步的殘響[04:36.90]你一如往常發著光而我就這樣[04:44.50]安靜地被遺忘[04:49.34]滿足地被遺忘[04:54.00]幸福的被遺忘[04:59.87][05:10.40][05:30.00]-END- 感謝 未命名的翼  提供動態歌詞,"['作詞', '：', '邱建豪', '作曲', '：', '邱建豪', '、', '郭哲成', '編曲', '：', '理想', '混蛋', '主唱', '：', '邱建豪', '沒有', '行李', ' ', '沒有', '目的', '一個', '人', '旅行', '在', '無邊', '黑暗', '裡', ' ', '直到', '耗盡', '勇氣', '卻', '無人', '回應', '忘記', '了', '呼吸', '直到', '誰', '的', '溫熱', '把', '我', '喚醒', '指引', '卻', '無法觸', '及', '那絕', '對', '的', '距離', '投射', '光芒', '的', '你', '我', '獨自盤', '旋', '在', '看', '得', '見', '你', '的', '軌道', '仰望', '著', '你', '一圈', '再', '一圈', '的', '圍繞', '我', '不能', '靠近', ' ', '卻', '也', '不願', '遠離', '習慣', '在', '你', '影子', '裡遊戲', '我', '的', '孤寂', '你', '成為', '了', '定律', '我放棄', '了', '時間', '轉過', '了', '一天', '過了', '一季', '過', '一年', '你', '一如', '往常', '發著光', ' ', '而', '我', '就', '這樣', '安靜', '地被', '遺忘', '更', '多', '更', '詳盡', '歌詞', ' ', '在', ' ', '※', ' ', 'Mojim', '.', 'com', '\u3000', '魔鏡', '歌', '詞網', ' ', '我', '獨自盤', '旋', '在', '看', '得', '見', '你', '的', '軌道', '仰望', '著', '你', '一圈', '再', '一圈', '的', '圍繞', '我', '不能', '靠近', ' ', '卻', '也', '不願', '遠離', '習慣', '在', '你', '影子', '裡遊戲', '我', '的', '孤寂', '你', '成為', '了', '定律', '我放棄', '了', '時間', '轉過', '了', '一天', '過了', '一季', '過', '一年', '你', '一如', '往常', '發著光', ' ', '而', '我', '就', '這樣', '安靜', '地被', '遺', '忘我', '沉睡', '時', '幻想', ' ', '你', '就', '在', '我', '身旁', '清醒', '卻', '發現', ' ', '你', '仍然', '遠方', '你', '聽', '見', '了', '嗎', ' ', '我', '在', '這裡', '歌唱', '一個', '人', '一個', '星球', '等待', '你', '一個', '回答', '也', '許有', '天時間', '把', '願望', '都', '埋葬', '只', '留下', '我', '為', '你', '踱步', '的', '殘響', '你', '一如', '往常', '發著光', ' ', '而', '我', '就', '這樣', '安靜', '地被', '遺忘', '滿足', '地被', '遺忘', '幸福', '的', '被', '遺忘', '[', '00', ':', '00.00', ']', '理想', '混蛋', 'Bestards', ' ', '-', ' ', '行星', '[', '00', ':', '15.00', ']', '[', '00', ':', '20.66', ']', '[', '00', ':', '40.80', ']', '[', '01', ':', '00.48', ']', '[', '01', ':', '19.29', ']', '[', '02', ':', '23.34', ']', '[', '02', ':', '31.32', ']', '[', '02', ':', '47.71', ']', '[', '03', ':', '07.89', ']', '[', '04', ':', '00.00', ']', '[', '00', ':', '27.90', ']', '沒有', '行李', ' ', '沒有', '目的', '[', '00', ':', '37.40', ']', '一個', '人', '旅行', '[', '00', ':', '47.21', ']', '在', '無邊', '黑暗', '裡', ' ', '直到', '耗盡', '勇氣', '[', '00', ':', '56.02', ']', '卻', '無人', '回應', '[', '01', ':', '05.40', ']', '忘記', '了', '呼吸', '[', '01', ':', '10.20', ']', '直到', '誰', '的', '溫熱', ' ', '把', '我', '喚醒', '[', '01', ':', '25.00', ']', '指引', '卻', '無法觸', '及', '[', '01', ':', '30.42', ']', '那絕', '對', '的', '距離', '[', '01', ':', '35.19', ']', '投射', '光芒', '的', '你', '[', '01', ':', '42.19', ']', '[', '03', ':', '19.00', ']', '我', '獨自盤', '旋', '在', '看', '得', '見', '你', '的', '軌道', '[', '01', ':', '46.90', ']', '[', '03', ':', '23.90', ']', '仰望', '著', '你', '一圈', '再', '一圈', '的', '圍繞', '[', '01', ':', '51.73', ']', '[', '03', ':', '29.14', ']', '我', '不能', '靠近', ' ', '卻', '也', '不願', '遠離', '[', '01', ':', '56.69', ']', '[', '03', ':', '33.86', ']', '習慣', '在', '你', '影子', '裡遊戲', '我', '的', '孤寂', '[', '02', ':', '01.10', ']', '[', '03', ':', '38.77', ']', '你', '成為', '了', '定律', '我放棄', '了', '時間', '[', '02', ':', '06.20', ']', '[', '03', ':', '43.76', ']', '轉過', '了', '一天', '過了', '一季', '過', '一年', '[', '02', ':', '11.10', ']', '[', '03', ':', '48.64', ']', '你', '一如', '往常', '發著光', '而', '我', '就', '這樣', '[', '02', ':', '18.32', ']', '[', '03', ':', '55.81', ']', '安靜', '地被', '遺忘', '[', '04', ':', '08.14', ']', '我', '沉睡', '時', '幻想', ' ', '你', '就', '在', '我', '身旁', '[', '04', ':', '12.48', ']', '清醒', '卻', '發現', ' ', '你', '仍然', '遠方', '[', '04', ':', '17.90', ']', '你', '聽', '見', '了', '嗎', ' ', '我', '在', '這裡', '歌唱', '[', '04', ':', '22.35', ']', '一個', '人', '一個', '星球', '等待', '你', '一個', '回答', '[', '04', ':', '27.70', ']', '也', '許有', '天時間', '把', '願望', '都', '埋葬', '[', '04', ':', '32.45', ']', '只', '留下', '我', '為', '你', '踱步', '的', '殘響', '[', '04', ':', '36.90', ']', '你', '一如', '往常', '發著光', '而', '我', '就', '這樣', '[', '04', ':', '44.50', ']', '安靜', '地被', '遺忘', '[', '04', ':', '49.34', ']', '滿足', '地被', '遺忘', '[', '04', ':', '54.00', ']', '幸福', '的', '被', '遺忘', '[', '04', ':', '59.87', ']', '[', '05', ':', '10.40', ']', '[', '05', ':', '30.00', ']', '-', 'END', '-', ' ', '感謝', ' ', '未命名', '的', '翼', ' ', ' ', '提供', '動態', '歌詞']"
不是因為天氣晴朗才愛你,"['不是', '因為', '天氣', '晴朗', '才', '愛', '你']"
演唱：邱建豪作詞：邱建豪作曲：邱建豪編曲：理想混蛋不是因為天氣晴朗才愛你不是因為看見星星才想你不是因為剛好沒有別的事才一直一直一直在腦海裡複習擁抱你 什麼角度最合適其實我 常會想像我們老了的樣子左邊牽著手 右手拉小狗可能還有很多小孩子其實我 不是因為好天氣才這麼說牽著你走過大雨盛開水花的路口也是我一樣喜歡的夢更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 不是因為天氣晴朗才愛你不是因為看見星星才想你不是因為剛好沒有別的事才一直一直一直在腦海裡複習擁抱你 什麼角度最合適其實我 常會想像我們老了的樣子左邊牽著手 右手拉小狗可能還有很多小孩子其實我 不是因為好天氣才這麼說牽著你走過大雨盛開水花的路口也是我一樣喜歡的夢牽著你走過大雨盛開水花的路口也是我一樣喜歡的夢,"['演唱', '：', '邱建豪', '作詞', '：', '邱建豪', '作曲', '：', '邱建豪', '編曲', '：', '理想', '混蛋', '不是', '因為', '天氣', '晴朗', '才', '愛', '你', '不是', '因為', '看見', '星星', '才', '想', '你', '不是', '因為', '剛好', '沒有別', '的', '事', '才', '一直', '一直', '一直', '在', '腦海裡', '複', '習擁', '抱', '你', ' ', '什麼', '角度', '最合', '適其實', '我', ' ', '常會', '想像', '我們', '老', '了', '的', '樣子', '左邊', '牽著手', ' ', '右手', '拉', '小狗', '可能', '還有', '很多', '小孩子', '其實', '我', ' ', '不是', '因為', '好', '天氣', '才', '這麼', '說', '牽著', '你', '走過', '大雨', '盛開', '水花', '的', '路口', '也', '是', '我', '一樣', '喜歡', '的', '夢', '更', '多', '更', '詳盡', '歌詞', ' ', '在', ' ', '※', ' ', 'Mojim', '.', 'com', '\u3000', '魔鏡', '歌', '詞網', ' ', '不是', '因為', '天氣', '晴朗', '才', '愛', '你', '不是', '因為', '看見', '星星', '才', '想', '你', '不是', '因為', '剛好', '沒有別', '的', '事', '才', '一直', '一直', '一直', '在', '腦海裡', '複', '習擁', '抱', '你', ' ', '什麼', '角度', '最合', '適其實', '我', ' ', '常會', '想像', '我們', '老', '了', '的', '樣子', '左邊', '牽著手', ' ', '右手', '拉', '小狗', '可能', '還有', '很多', '小孩子', '其實', '我', ' ', '不是', '因為', '好', '天氣', '才', '這麼', '說', '牽著', '你', '走過', '大雨', '盛開', '水花', '的', '路口', '也', '是', '我', '一樣', '喜歡', '的', '夢', '牽著', '你', '走過', '大雨', '盛開', '水花', '的', '路口', '也', '是', '我', '一樣', '喜歡', '的', '夢']"
獨角仙的夢 (Kabutomushi's Dream),"['獨角', '仙', '的', '夢', ' ', '(', 'Kabutomushi', ""'"", 's', ' ', 'Dream', ')']"
作詞：邱建豪作曲：邱建豪編曲：理想混蛋驕傲的活著 向晚的天空裡飛身體還殘留著 土壤氣味高樓天際線 尖銳的割開夕陽的窗簾卻透不進光線有沒有一座花園 很美光臘樹盛開鮮豔霧霾中睜開雙眼 卻看見城市燈火炙烈看我往前飛 看我一角劈開夏天劈開了 水泥和鋼鐵飛回童年的鄉間跟我往前飛 在翅膀都風乾以前能飛多遠 就飛更遠一點去找回綠色的夏天成群的孩子 低著頭越過斑馬線誰偷走了他們 頭上的星點無止盡改變 今日的柏油昨日的森野前進還是後退有沒有一座花園 很美更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 光臘樹盛開鮮豔霧霾中睜開雙眼 卻看見城市燈火炙烈看我往前飛 看我一角劈開夏天劈開了 水泥和鋼鐵飛回童年的鄉間跟我往前飛 在翅膀都風乾以前能飛多遠 就飛更遠一點去找回綠色的夏天小時候幻想穿上了鎧甲去冒險去尋找一座藏著寶藏的森林裡我們跳舞 我們遊戲著 笑臉長大卻發現世界不如想像完美大人說砍下樹木就會流出金錢我的夢卻要破碎不能妥協看我往前飛 看我一角劈開夏天劈開了 水泥和鋼鐵立起旗桿挑戰整個世界跟我往前飛 在翅膀都風乾以前能飛多遠 就飛更遠一點去找回綠色的夏天,"['作詞', '：', '邱建豪', '作曲', '：', '邱建豪', '編曲', '：', '理想', '混蛋', '驕傲', '的', '活著', ' ', '向晚', '的', '天空', '裡飛', '身體', '還殘留', '著', ' ', '土壤', '氣味', '高樓', '天際線', ' ', '尖銳', '的', '割', '開夕陽', '的', '窗簾', '卻', '透', '不', '進光線', '有', '沒', '有', '一座', '花園', ' ', '很', '美光臘', '樹盛', '開鮮', '豔', '霧', '霾', '中睜開', '雙眼', ' ', '卻', '看', '見', '城市', '燈火炙烈', '看', '我', '往前', '飛', ' ', '看', '我', '一角', '劈開', '夏天', '劈開', '了', ' ', '水泥', '和', '鋼鐵飛', '回', '童年', '的', '鄉間', '跟', '我', '往前', '飛', ' ', '在', '翅膀', '都', '風乾', '以前', '能', '飛多遠', ' ', '就', '飛', '更', '遠', '一點', '去', '找回', '綠色', '的', '夏天', '成群', '的', '孩子', ' ', '低著頭', '越過', '斑馬線', '誰', '偷走', '了', '他們', ' ', '頭上', '的', '星點', '無止', '盡', '改變', ' ', '今日', '的', '柏油', '昨日', '的', '森野前', '進還', '是', '後', '退', '有', '沒', '有', '一座', '花園', ' ', '很美', '更', '多', '更', '詳盡', '歌詞', ' ', '在', ' ', '※', ' ', 'Mojim', '.', 'com', '\u3000', '魔鏡', '歌', '詞網', ' ', '光臘樹盛', '開鮮', '豔', '霧', '霾', '中睜開', '雙眼', ' ', '卻', '看', '見', '城市', '燈火炙烈', '看', '我', '往前', '飛', ' ', '看', '我', '一角', '劈開', '夏天', '劈開', '了', ' ', '水泥', '和', '鋼鐵飛', '回', '童年', '的', '鄉間', '跟', '我', '往前', '飛', ' ', '在', '翅膀', '都', '風乾', '以前', '能', '飛多遠', ' ', '就', '飛', '更', '遠', '一點', '去', '找回', '綠色', '的', '夏天', '小時候', '幻想', '穿', '上', '了', '鎧甲去', '冒險', '去', '尋找', '一座', '藏著', '寶藏', '的', '森林', '裡我們', '跳舞', ' ', '我們', '遊戲', '著', ' ', '笑', '臉長', '大', '卻', '發現', '世界', '不如', '想像', '完美', '大人', '說', '砍', '下樹木', '就', '會', '流出', '金錢', '我', '的', '夢', '卻', '要', '破碎', '不能', '妥協', '看', '我', '往前', '飛', ' ', '看', '我', '一角', '劈開', '夏天', '劈開', '了', ' ', '水泥', '和', '鋼鐵立', '起旗桿', '挑戰', '整個', '世界', '跟', '我', '往前', '飛', ' ', '在', '翅膀', '都', '風乾', '以前', '能', '飛多遠', ' ', '就', '飛', '更', '遠', '一點', '去', '找回', '綠色', '的', '夏天']"
夏夜煙火,"['夏夜', '煙火']"
作詞：邱建豪作曲：邱建豪編曲：理想混蛋怎麼結束一個夜不成眠的夏天遺落的都已漸遠再強揹都是累贅怎麼結束一個支離破碎的夏天珍貴的都已不見你都已不見我無從找起愛過你的理由預設的美好卻成失蹤人口更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 你沉默往黑夜逃走 懦弱過了頭逆轉的時鐘蒸發你的下落我無從找起愛過你的理由停格畫面零碎成記憶煙火盛放了夏夜空 燃燒 然後墜落餘燼再沒有你一絲挽留也沒有我強求我已想不起你的表情 在你走的時候是掙扎得難以形容還是輕易得無地自容,"['作詞', '：', '邱建豪', '作曲', '：', '邱建豪', '編曲', '：', '理想', '混蛋', '怎麼', '結束', '一個', '夜', '不', '成眠', '的', '夏天', '遺落', '的', '都', '已漸', '遠', '再', '強', '揹', '都', '是', '累', '贅', '怎', '麼', '結', '束', '一', '個', '支', '離', '破碎', '的', '夏天', '珍貴', '的', '都', '已', '不見', '你', '都', '已', '不見', '我', '無', '從', '找', '起愛過', '你', '的', '理由', '預設', '的', '美好', '卻成', '失', '蹤', '人口', '更', '多', '更', '詳盡', '歌詞', ' ', '在', ' ', '※', ' ', 'Mojim', '.', 'com', '\u3000', '魔鏡', '歌', '詞網', ' ', '你', '沉默', '往', '黑夜', '逃走', ' ', '懦弱', '過了', '頭逆轉', '的', '時鐘', '蒸發', '你', '的', '下落', '我', '無', '從', '找', '起愛過', '你', '的', '理由', '停格', '畫面', '零碎', '成記憶', '煙火', '盛放', '了', '夏', '夜空', ' ', '燃燒', ' ', '然後墜', '落餘燼', '再', '沒', '有', '你', '一絲', '挽留', '也', '沒', '有', '我', '強求', '我', '已', '想不起', '你', '的', '表情', ' ', '在', '你', '走', '的', '時候', '是', '掙扎得', '難以', '形容', '還是', '輕', '易得', '無地', '自容']"
平衡木,['平衡木']
作詞：邱建豪作曲：邱建豪時光暫停 當你緩緩走近深邃的微笑是精靈的邀請屏住呼吸 我們小心翼翼擺放天平上完美劑量的濃郁我不是太擅長不著邊際的遊戲卻因你沉溺更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 平衡木上的愛情你左搖我右晃暈眩的香氣往後一步曖昧卻和諧的距離往前一步心就貼緊平衡木上我和你來回時而欲墜幸運總時而降臨我的膽小透明 乘著你溫柔勇氣一躍 安全降落愛情,"['作詞', '：', '邱建豪', '作曲', '：', '邱建豪', '時光', '暫停', ' ', '當你', '緩緩', '走近', '深邃', '的', '微笑', '是', '精靈', '的', '邀', '請', '屏住', '呼吸', ' ', '我們', '小心翼翼', '擺放', '天平', '上', '完美', '劑量', '的', '濃郁', '我', '不是', '太', '擅長', '不著', '邊際', '的', '遊戲', '卻', '因', '你', '沉溺', '更', '多', '更', '詳盡', '歌詞', ' ', '在', ' ', '※', ' ', 'Mojim', '.', 'com', '\u3000', '魔鏡', '歌', '詞網', ' ', '平衡木', '上', '的', '愛情', '你', '左搖', '我', '右晃暈', '眩', '的', '香氣', '往', '後', '一步', '曖昧', '卻', '和諧', '的', '距離', '往前', '一步', '心', '就', '貼', '緊', '平衡木', '上', '我', '和', '你', '來', '回時', '而', '欲', '墜', '幸運', '總時', '而', '降臨', '我', '的', '膽小', '透明', ' ', '乘著', '你', '溫柔', '勇氣', '一躍', ' ', '安全', '降落', '愛情']"
Dear Star,"['Dear', ' ', 'Star']"
