,0
0,作詞：邱建豪
1,作曲：邱建豪、郭哲成
2,編曲：理想混蛋
3,主唱：邱建豪
4,<br/>
5,沒有行李 沒有目的
6,一個人旅行
7,<br/>
8,在無邊黑暗裡 直到耗盡勇氣
9,卻無人回應
10,<br/>
11,忘記了呼吸
12,直到誰的溫熱把我喚醒
13,指引卻無法觸及
14,那絕對的距離
15,投射光芒的你
16,<br/>
17,我獨自盤旋在看得見你的軌道
18,仰望著你一圈再一圈的圍繞
19,我不能靠近 卻也不願遠離
20,習慣在你影子裡遊戲我的孤寂
21,<br/>
22,你成為了定律我放棄了時間
23,轉過了一天過了一季過一年
24,你一如往常發著光 而我就這樣
25,安靜地被遺忘
26,<br/>
27,更多更詳盡歌詞 在 
28,我獨自盤旋在看得見你的軌道
29,仰望著你一圈再一圈的圍繞
30,我不能靠近 卻也不願遠離
31,習慣在你影子裡遊戲我的孤寂
32,<br/>
33,你成為了定律我放棄了時間
34,轉過了一天過了一季過一年
35,你一如往常發著光 而我就這樣
36,安靜地被遺忘
37,<br/>
38,我沉睡時幻想 你就在我身旁
39,清醒卻發現 你仍然遠方
40,你聽見了嗎 我在這裡歌唱
41,一個人一個星球等待你一個回答
42,<br/>
43,也許有天時間把願望都埋葬
44,只留下我為你踱步的殘響
45,你一如往常發著光 而我就這樣
46,安靜地被遺忘
47,滿足地被遺忘
48,幸福的被遺忘
49,<br/>
50,<br/>
51,<br/>
52,<br/>
53,[00:00.00]理想混蛋Bestards - 行星
54,[00:15.00][00:20.66][00:40.80][01:00.48][01:19.29]
55,[02:23.34][02:31.32][02:47.71][03:07.89][04:00.00]
56,[00:27.90]沒有行李 沒有目的
57,[00:37.40]一個人旅行
58,[00:47.21]在無邊黑暗裡 直到耗盡勇氣
59,[00:56.02]卻無人回應
60,[01:05.40]忘記了呼吸
61,[01:10.20]直到誰的溫熱 把我喚醒
62,[01:25.00]指引卻無法觸及
63,[01:30.42]那絕對的距離
64,[01:35.19]投射光芒的你
65,[01:42.19][03:19.00]我獨自盤旋在看得見你的軌道
66,[01:46.90][03:23.90]仰望著你一圈再一圈的圍繞
67,[01:51.73][03:29.14]我不能靠近 卻也不願遠離
68,[01:56.69][03:33.86]習慣在你影子裡遊戲我的孤寂
69,[02:01.10][03:38.77]你成為了定律我放棄了時間
70,[02:06.20][03:43.76]轉過了一天過了一季過一年
71,[02:11.10][03:48.64]你一如往常發著光而我就這樣
72,[02:18.32][03:55.81]安靜地被遺忘
