,0
0,作詞：邱建豪、盧可沛、李建廷、郭哲成
1,作曲：盧可沛、邱建豪
2,<br/>
3,又沒帶鑰匙出門去
4,找不到左邊的耳機
5,錢包放哪裡 天開始下雨
6,雨傘迷路在剛剛的捷運
7,<br/>
8,手機電量紅色警訊
9,等不到他回我的訊息
10,暈船暈到南極 心變得冷冰冰
11,連行人都用眼神表達同情
12,<br/>
13,Today only 這運氣今日限定
14,大口深呼吸
15,還是要 還是要笑著告訴自己
16,<br/>
17,"Easy peasy, lemon squeezy"
18,跌倒的姿勢要帥氣
19,就算狼狽也要率性
20,"Easy peasy, lemon squeezy"
21,人生不如意十之八七
22,気持ち要鬆不要緊
23,<br/>
24,急剎車的公車司機
25,更多更詳盡歌詞 在 
26,喝兩口就打翻的多多綠
27,博愛座的阿姨 表情像燈籠魚
28,往波蘭的機票我立刻下訂
29,<br/>
30,Today only 這運氣今日限定
31,再一個深呼吸
32,邊哭邊笑 邊哭邊笑
33,這樣告訴自己
34,<br/>
35,"Easy peasy, lemon squeezy"
36,跌倒的姿勢要帥氣
37,就算狼狽也要率性
38,"Easy peasy, lemon squeezy"
39,人生不如意十之八七
40,気持ち要鬆不要緊
41,<br/>
42,"Easy peasy, lemon squeezy"
43,跌倒的姿勢要帥氣
44,就算狼狽也要率性
45,"Easy peasy, lemon squeezy"
46,人生不如意十之八七
47,気持ち要鬆不要緊
48,<br/>
49,"
"
50,作詞：邱建豪、盧可沛、李建廷、郭哲成
51,作曲：盧可沛、邱建豪
52,<br/>
53,又沒帶鑰匙出門去
54,找不到左邊的耳機
55,錢包放哪裡 天開始下雨
56,雨傘迷路在剛剛的捷運
57,<br/>
58,手機電量紅色警訊
59,等不到他回我的訊息
60,暈船暈到南極 心變得冷冰冰
61,連行人都用眼神表達同情
62,<br/>
63,Today only 這運氣今日限定
64,大口深呼吸
65,還是要 還是要笑著告訴自己
66,<br/>
67,"Easy peasy, lemon squeezy"
68,跌倒的姿勢要帥氣
69,就算狼狽也要率性
70,"Easy peasy, lemon squeezy"
71,人生不如意十之八七
72,気持ち要鬆不要緊
73,<br/>
74,急剎車的公車司機
75,更多更詳盡歌詞 在 
76,喝兩口就打翻的多多綠
77,博愛座的阿姨 表情像燈籠魚
78,往波蘭的機票我立刻下訂
79,<br/>
80,Today only 這運氣今日限定
81,再一個深呼吸
82,邊哭邊笑 邊哭邊笑
83,這樣告訴自己
84,<br/>
85,"Easy peasy, lemon squeezy"
86,跌倒的姿勢要帥氣
87,就算狼狽也要率性
88,"Easy peasy, lemon squeezy"
89,人生不如意十之八七
90,気持ち要鬆不要緊
91,<br/>
92,"Easy peasy, lemon squeezy"
93,跌倒的姿勢要帥氣
94,就算狼狽也要率性
95,"Easy peasy, lemon squeezy"
96,人生不如意十之八七
97,気持ち要鬆不要緊
98,<br/>
99,"
"
100,作詞：邱建豪、盧可沛、李建廷、郭哲成
101,作曲：盧可沛、邱建豪
102,<br/>
103,又沒帶鑰匙出門去
104,找不到左邊的耳機
105,錢包放哪裡 天開始下雨
106,雨傘迷路在剛剛的捷運
107,<br/>
108,手機電量紅色警訊
109,等不到他回我的訊息
110,暈船暈到南極 心變得冷冰冰
111,連行人都用眼神表達同情
112,<br/>
113,Today only 這運氣今日限定
114,大口深呼吸
115,還是要 還是要笑著告訴自己
116,<br/>
117,"Easy peasy, lemon squeezy"
118,跌倒的姿勢要帥氣
119,就算狼狽也要率性
120,"Easy peasy, lemon squeezy"
121,人生不如意十之八七
122,気持ち要鬆不要緊
123,<br/>
124,急剎車的公車司機
125,更多更詳盡歌詞 在 
126,喝兩口就打翻的多多綠
127,博愛座的阿姨 表情像燈籠魚
128,往波蘭的機票我立刻下訂
129,<br/>
130,Today only 這運氣今日限定
131,再一個深呼吸
132,邊哭邊笑 邊哭邊笑
133,這樣告訴自己
134,<br/>
135,"Easy peasy, lemon squeezy"
