活動名稱,活動網址
管理塑膠生產到處理流程，支持重複使用模式，一起終結塑膠污染！,https://cloud.greentw.greenpeace.org/petition-gpt_plastics?ref=get-involved-cards-group2
要求政府完善淨零碳排路徑，並推動用電大戶加速綠能轉型,https://cloud.greentw.greenpeace.org/petition-mitigate-climatechange/?ref=get-involved-cards-group2
推動政府通過海洋保育法，於 2030 年前設立 30% 的臺灣海洋保護區,https://cloud.greentw.greenpeace.org/petition-oceans-sanctuaries-mw/?ref=get-involved-cards-group2
要求政府明定碳費起徵價格每噸 300 元以上，以價制量,https://cloud.greentw.greenpeace.org/end-carbon-pollution/?ref=action_portal
推動成立《全球海洋公約》，於 2030 年以前保護至少 30% 海洋,https://cloud.greentw.greenpeace.org/petition-oceans-sanctuaries-mw?ref=action_portal
推動環保署於 2025 年以前，將一次性塑膠減量至少 50%,https://cloud.greentw.greenpeace.org/petition-plastics-policy?ref=action_portal
要求政府與企業承諾漁業革新，讓臺灣從強迫勞動清單除名,https://cloud.greentw.greenpeace.org/petition-oceans-dwf?ref=action_portal
要求臺灣七大零售企業承諾減塑，並提出總體減塑政策,https://cloud.greentw.greenpeace.org/petition-plastics-retailer?ref=action_portal
透過更永續的飲食選擇，讓民眾「逐步」實踐滿足口腹與友善環境的平衡,https://cloud.greentw.greenpeace.org/cwf-seafood-handbook/?ref=get-involved-cards-group3
推廣綠色生活，邁向永續生活，開啟友善環境的每一天，為地球減壓，帶來大大改變,https://cloud.greentw.greenpeace.org/2022_greenlife_handbook?ref=get-involved-cards-group3
透過環境教育教材包，與孩子們分享減塑的日常環保觀念，從小培養正確的減塑觀念,https://www.greenpeace.org/taiwan/update/16762/%e5%ad%a9%e5%ad%90%e7%9a%84%e6%95%99%e8%82%b2%e4%b8%8d%e8%83%bd%e7%ad%89%ef%bc%8c%e8%80%81%e5%b8%ab%e7%9a%84%e5%a4%a2%e5%b9%bb%e6%b8%9b%e5%a1%91%e6%95%99%e6%9d%90%e9%83%bd%e5%9c%a8%e9%80%99%e8%a3%a1/?ref=get-involved-cards-group3
本書製作目的是為了培養孩子們從小對氣候變遷的危機意識，並成為小小氣候領袖！,https://www.greenpeace.org/taiwan/update/24176/%e3%80%8a%e6%88%91%e5%ae%b6%e4%b8%8d%e8%a6%8b%e4%ba%86%e3%80%8b%e6%b0%a3%e5%80%99%e8%ae%8a%e9%81%b7%e5%85%92%e7%ab%a5%e7%b9%aa%e6%9c%ac-%e4%b8%96%e7%95%8c%e5%9c%b0%e7%90%83%e6%97%a5%e4%b8%80/
完成心理測驗，找出最適合你的投資地球方法，讓我們一起用行動投資地球，改善氣候，擁抱好生活,https://cloud.greentw.greenpeace.org/quiz-climate-earthinvestor/?ref=action_portal
完成互動式遊戲體驗！測測你是哪種污染源與污染指數,https://cloud.greentw.greenpeace.org/2022_greenlife_handbook_quiz?ref=action_portal
防疫是場持久戰，與民眾分享如何有效抗毒又環保的各種方式？,https://change.greenpeace.org.tw/2021/reports/%E6%A9%9F%E5%88%B6%E9%98%B2%E7%96%AB%E7%B6%A0%E7%94%9F%E6%B4%BB_v1.pdf
