編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2023/2/28 03:30,121.371,23.1842,4.1,18.7,臺東縣政府北北東方  52.6  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2023/2/26 14:22,121.61,24.3273,3.4,25.1,花蓮縣政府北方  37.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023/2/26 00:03,121.308,22.4645,4.6,16.1,臺東縣政府南南東方  36.0  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2023/2/25 14:06,121.354,23.1872,3.2,17,臺東縣政府北北東方  52.2  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2023/2/23 07:55,121.728,23.9968,3.5,3.6,花蓮縣政府東方  11.0  公里 (位於臺灣東部海域)(臺灣東部海域)
14,2023/2/23 05:18,121.735,23.9918,4.6,6.9,花蓮縣政府東方  11.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023/2/22 01:00,123.36,24.9502,5.4,140.5,宜蘭縣政府東方  163.2  公里 (位於臺灣東部海域)(臺灣東部海域)
13,2023/2/21 19:01,121.661,23.5173,4.8,31.3,花蓮縣政府南方  52.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023/2/21 12:39,121.444,23.7442,3.9,12.2,花蓮縣政府西南方  32.7  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2023/2/21 12:29,121.928,24.4142,3.9,26.7,宜蘭縣政府南南東方  38.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023/2/21 12:22,121.894,24.4282,4.2,26,宜蘭縣政府南南東方  36.1  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2023/2/21 07:39,121.436,23.7443,3.9,11.3,花蓮縣政府西南方  33.1  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
12,2023/2/19 07:32,121.634,24.67,4.6,54.6,宜蘭縣政府西南西方  14.7  公里 (位於宜蘭縣三星鄉)(宜蘭縣三星鄉)
11,2023/2/18 23:49,120.766,23.7087,5.1,21.4,南投縣政府南南東方  22.8  公里 (位於南投縣鹿谷鄉)(南投縣鹿谷鄉)
小區域有感地震,2023/2/18 16:34,120.869,22.2008,3.5,7.1,屏東縣政府東南方  66.2  公里 (位於屏東縣牡丹鄉)(屏東縣牡丹鄉)
小區域有感地震,2023/2/18 10:48,121.514,24.0752,3.7,20.6,花蓮縣政府西北方  14.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023/2/17 15:07,121.763,24.2732,3.4,21.6,花蓮縣政府北北東方  34.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023/2/17 09:35,121.479,23.945,3.9,18.4,花蓮縣政府西南西方  15.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
10,2023/2/17 09:22,121.47,23.943,4.6,18,花蓮縣政府西南西方  16.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023/2/17 09:08,121.559,25.1615,3.3,4.7,臺北市政府北方  13.7  公里 (位於臺北市士林區)(臺北市士林區)
小區域有感地震,2023/2/16 08:30,120.573,22.8912,4.1,9.1,高雄市政府東北方  40.2  公里 (位於高雄市美濃區)(高雄市美濃區)
小區域有感地震,2023/2/13 15:34,121.248,23.2602,4,17.3,花蓮縣政府南南西方  89.4  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023/2/13 05:51,121.166,23.0997,4,14.5,臺東縣政府北方  38.2  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2023/2/12 04:40,121.756,24.274,3.5,21.3,花蓮縣政府北北東方  34.3  公里 (位於花蓮縣近海)(花蓮縣近海)
9,2023/2/11 19:35,121.534,23.4318,5.2,34.2,花蓮縣政府南方  62.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023/2/11 05:18,121.373,24.7468,3.9,6.4,桃園市政府南南東方  28.2  公里 (位於桃園市復興區)(桃園市復興區)
小區域有感地震,2023/2/10 23:12,121.392,22.124,3.9,24.1,臺東縣政府南南東方  74.1  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2023/2/10 08:07,121.932,24.5885,3.7,13.6,宜蘭縣政府東南方  23.3  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2023/2/10 02:59,121.491,23.9565,3.1,17.3,花蓮縣政府西南西方  13.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023/2/10 01:52,121.434,23.2982,3.8,27,臺東縣政府北北東方  66.8  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉)
8,2023/2/8 18:49,121.549,23.4445,5.6,36.7,花蓮縣政府南方  61.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023/2/8 12:18,121.99,23.8133,4.3,39.4,花蓮縣政府東南東方  42.5  公里 (位於臺灣東部海域)(臺灣東部海域)
7,2023/2/8 05:48,121.83,24.7468,4.5,79.1,宜蘭縣政府東北東方  7.0  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2023/2/7 06:12,121.761,24.2718,4.1,21.8,花蓮縣政府北北東方  34.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023/2/7 04:26,121.749,24.2697,3.3,21,花蓮縣政府北北東方  33.5  公里 (位於花蓮縣近海)(花蓮縣近海)
6,2023/2/7 04:20,121.76,24.2727,5.1,22.1,花蓮縣政府北北東方  34.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023/2/6 14:37,121.288,23.4437,3.6,11.7,花蓮縣政府南南西方  69.4  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023/2/4 03:06,120.719,23.506,3.4,7.8,嘉義縣政府東方  43.8  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉)
小區域有感地震,2023/2/3 22:48,121.638,24.6127,3.8,48.1,宜蘭縣政府西南方  18.2  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2023/2/2 13:54,120.548,23.096,3.7,12.6,臺南市政府東北東方  38.9  公里 (位於臺南市南化區)(臺南市南化區)
小區域有感地震,2023/2/1 16:03,121.778,24.2493,3.4,14.6,花蓮縣政府北北東方  32.8  公里 (位於花蓮縣近海)(花蓮縣近海)
